2024-10-16 03:51:34.293 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.003 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=288493 kB
2024-10-16 03:52:34.306 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:52:34.310 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.005 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=259643 kB
2024-10-16 03:53:34.320 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:53:34.323 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=233679 kB
2024-10-16 03:54:34.338 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:54:34.343 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.001 s, total=0.006 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=210311 kB
2024-10-16 03:55:34.368 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:55:34.372 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=189280 kB
2024-10-16 03:56:34.383 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:56:34.387 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.005 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=170352 kB
2024-10-16 03:57:34.428 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:57:34.431 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=153317 kB
2024-10-16 03:58:34.444 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:58:34.449 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.004 s, sync=0.001 s, total=0.006 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=137985 kB
2024-10-16 03:59:34.459 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 03:59:34.462 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.003 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=124186 kB
2024-10-16 04:00:34.486 CEST [3564503] LOG:  checkpoint starting: immediate force wait
2024-10-16 04:00:34.492 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.005 s, sync=0.001 s, total=0.006 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=111768 kB
2024-10-16 04:01:34.565 CEST [3564502] LOG:  received fast shutdown request
2024-10-16 04:01:34.566 CEST [3564502] LOG:  aborting any active transactions
2024-10-16 04:01:34.567 CEST [3564502] LOG:  background worker "logical replication launcher" (PID 3564508) exited with exit code 1
2024-10-16 04:01:34.579 CEST [3564503] LOG:  shutting down
2024-10-16 04:01:34.579 CEST [3564503] LOG:  checkpoint starting: shutdown immediate
2024-10-16 04:01:34.582 CEST [3564503] LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.002 s, sync=0.001 s, total=0.004 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=100591 kB
2024-10-16 04:01:34.696 CEST [3564502] LOG:  database system is shut down
